stock_code,trade_date,close,volume,turnover_rate,market_value,pe_ttm,pb,roe
000831,2025-12-02,46.664,29112803,0.02743,49548399478.83,494.50605,10.971075,-0.057238
000831,2025-12-03,46.944,26562149,0.02503,49845541304.79,494.50605,10.971075,-0.057238
000831,2025-12-04,45.864,26054358,0.02455,48699422833.23,494.50605,10.971075,-0.057238
000831,2025-12-05,46.834,28819663,0.02716,49728807016.02,494.50605,10.971075,-0.057238
000831,2025-12-08,47.113,22632544,0.02133,50025948841.98,494.50605,10.971075,-0.057238
000831,2025-12-09,46.774,19513285,0.01839,49665133767.6,494.50605,10.971075,-0.057238
000831,2025-12-10,46.664,20461304,0.01928,49548399478.83,494.50605,10.971075,-0.057238
000831,2025-12-11,45.694,19833700,0.01869,48519015296.04,494.50605,10.971075,-0.057238
000831,2025-12-12,45.724,19209629,0.0181,48550851920.25,494.50605,10.971075,-0.057238
000831,2025-12-15,44.825,19981784,0.01883,47595753193.95,494.50605,10.971075,-0.057238
000831,2025-12-16,43.096,29477553,0.02778,45759841197.84,494.50605,10.971075,-0.057238
000831,2025-12-17,43.985,23710200,0.02234,46704327716.07,494.50605,10.971075,-0.057238
000831,2025-12-18,43.815,19188555,0.01808,46523920178.88,494.50605,10.971075,-0.057238
000831,2025-12-19,45.125,30823362,0.02905,47914119436.05,494.50605,10.971075,-0.057238
000831,2025-12-22,45.724,21898604,0.02064,48550851920.25,494.50605,10.971075,-0.057238
000831,2025-12-23,45.474,17407511,0.0164,48285546718.5,494.50605,10.971075,-0.057238
000831,2025-12-24,45.614,14079383,0.01327,48434117631.48,494.50605,10.971075,-0.057238
000831,2025-12-25,46.454,26702683,0.02516,49325543109.36,494.50605,10.971075,-0.057238
000831,2025-12-26,47.063,28814825,0.02715,49972887801.63,494.50605,10.971075,-0.057238
000831,2025-12-29,46.504,24905516,0.02347,49378604149.71,494.50605,10.971075,-0.057238
000831,2025-12-30,46.254,19691789,0.01856,49113298947.96,494.50605,10.971075,-0.057238
000831,2025-12-31,46.414,17085323,0.0161,49283094277.08,270.212139,9.886431,-0.057238
000831,2026-01-05,47.763,33296628,0.03138,50715742366.53,270.212139,9.886431,-0.057238
000831,2026-01-06,48.882,39305371,0.03704,51904309670.37,270.212139,9.886431,-0.057238
000831,2026-01-07,51.401,92996216,0.08763,54578586104.01,270.212139,9.886431,-0.057238
000831,2026-01-08,50.032,50481669,0.04757,53124713598.42,270.212139,9.886431,-0.057238
000831,2026-01-09,52.011,59570342,0.05613,55225930796.28,270.212139,9.886431,-0.057238
000831,2026-01-12,54.069,70911383,0.06682,57412045658.7,270.212139,9.886431,-0.057238
000831,2026-01-13,52.73,51423073,0.04846,55990009777.32,270.212139,9.886431,-0.057238
000831,2026-01-14,52.241,54568807,0.05142,55470011581.89,270.212139,9.886431,-0.057238
000831,2026-01-15,53.17,39871449,0.03757,56456946932.4,270.212139,9.886431,-0.057238
000831,2026-01-16,53.06,40082890,0.03777,56340212643.63,270.212139,9.886431,-0.057238
000831,2026-01-19,53.74,48047109,0.04528,57061842792.39,270.212139,9.886431,-0.057238
000831,2026-01-20,54.02,46782623,0.04408,57358984618.35,270.212139,9.886431,-0.057238
000831,2026-01-21,54.519,43182695,0.04069,57889595021.85,270.212139,9.886431,-0.057238
000831,2026-01-22,55.429,56185570,0.05294,58855305956.22,270.212139,9.886431,-0.057238
000831,2026-01-23,55.459,52694491,0.04965,58887142580.43,270.212139,9.886431,-0.057238
000831,2026-01-26,57.707,71857087,0.06771,61274889396.18,270.212139,9.886431,-0.057238
000831,2026-01-27,55.419,66480631,0.06265,58844693748.15,270.212139,9.886431,-0.057238
000831,2026-01-28,56.518,73292459,0.06906,60012036635.85,270.212139,9.886431,-0.057238
000831,2026-01-29,58.577,113936261,0.10736,62198151498.27,270.212139,9.886431,-0.057238
000831,2026-01-30,54.189,78123720,0.07362,57539392155.54,270.212139,9.886431,-0.057238
000831,2026-02-02,50.991,49320243,0.04648,54143485573.14,270.212139,9.886431,-0.057238
000831,2026-02-03,53.93,45401716,0.04278,57263474745.72,270.212139,9.886431,-0.057238
000831,2026-02-04,53.52,29535291,0.02783,56828374214.85,270.212139,9.886431,-0.057238
000831,2026-02-05,50.981,29177821,0.02749,54132873365.07,270.212139,9.886431,-0.057238
000831,2026-02-06,51.671,28295631,0.02666,54865115721.9,270.212139,9.886431,-0.057238
000831,2026-02-09,55.149,52536043,0.04951,58558164130.26,270.212139,9.886431,-0.057238
000831,2026-02-10,55.589,37999010,0.03581,59025101285.34,270.212139,9.886431,-0.057238
000831,2026-02-11,56.568,49662243,0.0468,60065097676.2,270.212139,9.886431,-0.057238
000831,2026-02-12,58.327,52569318,0.04954,61932846296.52,270.212139,9.886431,-0.057238
000831,2026-02-13,55.789,33736974,0.03179,59237345446.74,270.212139,9.886431,-0.057238
000831,2026-02-24,57.767,43379385,0.04088,61338562644.6,270.212139,9.886431,-0.057238
000831,2026-02-25,62.675,101552606,0.09569,66549156806.97,270.212139,9.886431,-0.057238
000831,2026-02-26,60.296,55653176,0.05244,64023451286.31,270.212139,9.886431,-0.057238
000831,2026-02-27,64.943,76946727,0.07251,68958128038.86,270.212139,9.886431,-0.057238
000831,2026-03-02,63.474,96562340,0.09099,67398133452.57,270.212139,9.886431,-0.057238
000831,2026-03-03,57.428,74653603,0.07035,60977747570.22,270.212139,9.886431,-0.057238
000831,2026-03-04,59.167,56198102,0.05296,62824271774.4,270.212139,9.886431,-0.057238
000831,2026-03-05,58.347,39394777,0.03712,61954070712.66,270.212139,9.886431,-0.057238
000831,2026-03-06,57.468,36152657,0.03407,61020196402.5,270.212139,9.886431,-0.057238
000831,2026-03-09,57.308,36119527,0.03404,60850401073.38,270.212139,9.886431,-0.057238
000831,2026-03-10,57.418,30550639,0.02879,60967135362.15,270.212139,9.886431,-0.057238
000831,2026-03-11,54.869,46305844,0.04363,58261022304.3,270.212139,9.886431,-0.057238
000831,2026-03-12,54.189,40242422,0.03792,57539392155.54,270.212139,9.886431,-0.057238
000831,2026-03-13,52.99,25799888,0.02431,56265927187.14,270.212139,9.886431,-0.057238
000831,2026-03-16,51.701,27836243,0.02623,54896952346.11,270.212139,9.886431,-0.057238
000831,2026-03-17,50.362,23955875,0.02257,53474916464.73,270.212139,9.886431,-0.057238
000831,2026-03-18,50.342,24033648,0.02265,53453692048.59,270.212139,9.886431,-0.057238
000831,2026-03-19,47.843,32726441,0.03084,50800640031.09,270.212139,9.886431,-0.057238
000831,2026-03-20,46.494,28225075,0.0266,49367991941.64,270.212139,9.886431,-0.057238
000831,2026-03-23,46.024,38860818,0.03662,48869218162.35,270.212139,9.886431,-0.057238
000831,2026-03-24,46.484,32191348,0.03033,49357379733.57,270.212139,9.886431,-0.057238
000831,2026-03-25,47.873,39425086,0.03715,50832476655.3,270.212139,9.886431,-0.057238
000831,2026-03-26,46.364,22378163,0.02109,49230033236.73,270.212139,9.886431,-0.057238
000831,2026-03-27,48.273,41598864,0.0392,51256964978.1,270.212139,9.886431,-0.057238
000831,2026-03-30,47.933,25079071,0.02363,50896149903.72,270.212139,9.886431,-0.057238
000831,2026-03-31,47.963,24292490,0.02289,50927986527.93,203.48958,9.931597,-0.057238
000831,2026-04-01,48.253,23931094,0.02255,51235740561.96,203.48958,9.931597,-0.057238
000831,2026-04-02,47.223,20117687,0.01896,50142683130.75,203.48958,9.931597,-0.057238
000831,2026-04-03,46.973,15503945,0.01461,49877377929.0,203.48958,9.931597,-0.057238
000831,2026-04-07,48.762,35840256,0.03377,51776963173.53,203.48958,9.931597,-0.057238
000831,2026-04-08,50.811,39822271,0.03752,53952465827.88,203.48958,9.931597,-0.057238
000831,2026-04-09,51.681,38881014,0.03664,54875727929.97,203.48958,9.931597,-0.057238
000831,2026-04-10,51.981,31407720,0.0296,55194094172.07,203.48958,9.931597,-0.057238
000831,2026-04-13,52.171,33150209,0.03124,55395726125.4,203.48958,9.931597,-0.057238
000831,2026-04-14,51.011,31621999,0.0298,54164709989.28,203.48958,9.931597,-0.057238
000831,2026-04-15,50.611,24859916,0.02343,53740221666.48,203.48958,9.931597,-0.057238
000831,2026-04-16,51.661,25010659,0.02357,54854503513.83,203.48958,9.931597,-0.057238
000831,2026-04-17,52.081,22700853,0.02139,55300216252.77,203.48958,9.931597,-0.057238
000831,2026-04-20,54.319,42702862,0.04024,57677350860.45,203.48958,9.931597,-0.057238
000831,2026-04-21,55.239,42502757,0.04005,58653674002.89,203.48958,9.931597,-0.057238
000831,2026-04-22,55.149,29324001,0.02763,58558164130.26,203.48958,9.931597,-0.057238
000831,2026-04-23,51.081,55627509,0.05242,54238995445.77,203.48958,9.931597,-0.057238
000831,2026-04-24,51.131,29170272,0.02749,54292056486.12,203.48958,9.931597,-0.057238
000831,2026-04-27,50.062,21889064,0.02063,53156550222.63,203.48958,9.931597,-0.057238
000831,2026-04-28,49.092,21938671,0.02067,52127166039.84,203.48958,9.931597,0.000169
000831,2026-04-29,54.0,59688622,0.05625,57337760202.21,203.48958,9.931597,0.000169
000831,2026-04-30,54.409,57112921,0.05382,57772860733.08,203.48958,9.931597,0.000169
000831,2026-05-06,55.579,53319905,0.05024,59014489077.27,203.48958,9.931597,0.000169
